batsman,bowler,venue,phase,recent_bat_form,bowler_wickets_last50,batsman_runs_vs_bowler_last50,bat_phase_rpb,bp_wicket_rate,predicted_prob_wicket
miller,marco jansen,"dr dy patil sports academy, mumbai",middle,18.666666666666668,2.5,2.0,1.1939393939393939,0.031088082901554404,0.2940827
abhinav manohar,marco jansen,"dr dy patil sports academy, mumbai",middle,8.0,3.0,5.5,0.9615384615384616,0.031088082901554404,0.21770565
hasaranga,marco jansen,"sawai mansingh stadium, jaipur",death,1.6666666666666667,3.0,0.0,1.0303030303030303,0.07534246575342465,0.7923387
dhruv jurel,marco jansen,"sawai mansingh stadium, jaipur",death,19.333333333333332,4.5,0.0,1.6521739130434783,0.07534246575342465,0.72292286
shubham dubey,marco jansen,"sawai mansingh stadium, jaipur",death,17.333333333333332,5.0,0.0,1.7543859649122806,0.07534246575342465,0.62433785
rohit,marco jansen,"sawai mansingh stadium, jaipur",powerplay,21.666666666666668,5.0,2.5,1.3333333333333333,0.044226044226044224,0.4354134
rinku singh,marco jansen,"rajiv gandhi international stadium, hyderabad",powerplay,30.0,5.0,13.5,1.2857142857142858,0.044226044226044224,0.21742108
suryakumar yadav,marco jansen,"sawai mansingh stadium, jaipur",powerplay,52.0,5.2,42.4,1.3519553072625698,0.044226044226044224,0.18859065
rickelton,marco jansen,"sawai mansingh stadium, jaipur",powerplay,29.333333333333332,5.0,0.0,1.4924623115577889,0.044226044226044224,0.60611045
bhandage,marco jansen,"m.chinnaswamy stadium, bengaluru",middle,0.0,3.5,0.0,0.25,0.031088082901554404,0.41011995
ayush badoni,marco jansen,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,10.666666666666666,2.0,6.666666666666667,1.524547803617571,0.07534246575342465,0.5069051
abdul samad,marco jansen,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,8.666666666666666,3.0,11.25,1.6475409836065573,0.07534246575342465,0.47155166
miller,marco jansen,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,18.666666666666668,2.0,3.3333333333333335,1.5199115044247788,0.07534246575342465,0.54794925
rajat patidar,marco jansen,"m.chinnaswamy stadium, bengaluru",powerplay,33.666666666666664,4.5,2.5,1.2317880794701987,0.044226044226044224,0.3825379
