player_name,role,franchise
Stokes,middle_order,
Sumit Kumar,middle_order,
Suryakumar Yadav,middle_order,MI
Suryansh Shedge,middle_order,PBKS
Tilak Varma,middle_order,MI
Urvil Patel,middle_order,CSK
Venkatesh Iyer,middle_order,KKR
Vivrant Sharma,middle_order,
Vohra,middle_order,
Abhijeet Tomar,opener,
Abhishek Sharma,opener,SRH
Anmolpreet Singh,opener,
Atharva Taide,opener,SRH
Ayush Mhatre,opener,CSK
Bhui,opener,
Breetzke,opener,LSG
Conway,opener,CSK
Dhawan,opener,
du Plessis,opener,DC
Finch,opener,
Fraser-McGurk,opener,DC
Gaikwad,opener,CSK
Green,opener,
Harpreet Singh,opener,
Head,opener,SRH
Jacob Bethell,opener,RCB
Jaiswal,opener,RR
Karun Nair,opener,DC
Kohler-Cadmore,opener,
Kohli,opener,RCB
Lewis,opener,
Markram,opener,LSG
Mayank Agarawal,opener,
Mayers,opener,
Mitchell Marsh,opener,LSG
Padikkal,opener,RCB
Prabhsimran,opener,PBKS
Prerak Mankad,opener,
Prithvi Shaw,opener,
Priyansh Arya,opener,PBKS
Rahane,opener,KKR
Ravindra,opener,CSK
Rohit,opener,MI
Root,opener,
Rossouw,opener,
Roy,opener,
Sai Sudharsan,opener,GT
Saurav Chauhan,opener,
Sediqullah Atal,opener,
Shaik Rasheed,opener,CSK
Shivam Singh,opener,
Short,opener,
Shubman Gill,opener,GT
Tripathi,opener,CSK
Turner,opener,
Uthappa,opener,
Vaibhav Suryavanshi,opener,RR
van der Dussen,opener,
Warner,opener,
Will Jacks,opener,MI
Williamson,opener,
Yash Dhull,opener,
Adil Rashid,spinner,
Akeal Hosein,spinner,
Anukul Roy,spinner,KKR
Ashwin,spinner,CSK
Axar,spinner,DC
Chahal,spinner,PBKS
Chawla,spinner,
Digvesh Rathi,spinner,LSG
Fabian Allen,spinner,
Gowtham,spinner,
Harpreet Brar,spinner,PBKS
Harsh Dubey,spinner,SRH
Hasaranga,spinner,RR
Himanshu Sharma,spinner,LSG
Hrithik Shokeen,spinner,
J Suchith,spinner,
Jadeja,spinner,CSK
Jayant Yadav,spinner,GT
Karan Sharma,middle_order,
Karn Sharma,spinner,MI
Kumar Kartikeya,spinner,RR
Kaverappa,spinner,
Krunal Pandya,spinner,RCB
Kuldeep Yadav,spinner,DC
Lalit Yadav,spinner,
M Bracewell,spinner,
M Siddharth,spinner,LSG
Maharaj,spinner,
Manav Suthar,spinner,GT
Markande,spinner,KKR
Mayank Dagar,spinner,
Mishra,spinner,
Moeen Ali,spinner,KKR
Mujeeb,spinner,MI
Murugan Ashwin,spinner,
Nabi,spinner,
Narine,spinner,KKR
Noor Ahmad,spinner,CSK
Praveen Dubey,spinner,PBKS
Raghav Goyal,spinner,
Rahul Chahar,spinner,SRH
Rashid Khan,spinner,GT
Ravi Bishnoi,spinner,LSG
Raza,spinner,
Sai Kishore,spinner,GT
Sanjay Yadav,spinner,
Santner,spinner,MI
Shahbaz Ahmed,spinner,LSG
Shams Mulani,spinner,
Shreyas Gopal,spinner,CSK
Solanki,spinner,
Suyash Sharma,spinner,RCB
Swapnil Singh,spinner,RCB
Theekshana,spinner,RR
V Viyaskanth,spinner,
Varun Chakaravarthy,spinner,KKR
Vignesh Puthur,spinner,MI
Vipraj Nigam,spinner,DC
Washington Sundar,spinner,GT
Zampa,spinner,SRH
Zeeshan Ansari,spinner,SRH
N Jagadeesan,wicket_keeper,
Pant,wicket_keeper,LSG
Philip Salt,wicket_keeper,RCB
Rahul,wicket_keeper,DC
Rajapaksa,wicket_keeper,
Rickelton,wicket_keeper,MI
Robin Minz,wicket_keeper,MI
Saha,wicket_keeper,
Samson,wicket_keeper,RR
Seifert,wicket_keeper,
Shai Hope,wicket_keeper,
Sharath BR,wicket_keeper,
Srikar Bharat,wicket_keeper,
Vishnu Vinod,wicket_keeper,PBKS
W Saha,wicket_keeper,
Wade,wicket_keeper,
Abishek Porel,wicket_keeper,DC
Anuj Rawat,wicket_keeper,GT
Bairstow,wicket_keeper,
Buttler,wicket_keeper,GT
de Kock,wicket_keeper,KKR
Dhoni,wicket_keeper,CSK
Dhruv Jurel,wicket_keeper,RR
Gurbaz,wicket_keeper,KKR
Indrajith,wicket_keeper,
Ishan Kishan,middle_order,SRH
Jackson,wicket_keeper,
Jitesh Sharma,wicket_keeper,RCB
Josh Inglis,wicket_keeper,PBKS
Karthik,wicket_keeper,
Klaasen,wicket_keeper,SRH
KS Rathore,wicket_keeper,
Kusal Mendis,wicket_keeper,
Kushagra,wicket_keeper,GT
Litton Das,wicket_keeper,
