batter,bowler,balls_faced,runs_scored,dismissals,innings_faced,strike_rate
Arshdeep Singh,Mustafizur,7,4,1,1,57.14285714
Arshdeep Singh,Naveen-ul-Haq,2,2,0,1,100
Arshdeep Singh,Nortje,2,1,0,1,50
Arshdeep Singh,Russell,1,0,1,1,0
Arshdeep Singh,Sandeep Sharma,2,1,0,1,50
Arshdeep Singh,Shami,1,2,0,1,200
Arshdeep Singh,Siraj,3,4,1,1,133.3333333
Arshdeep Singh,Thakur,1,1,0,1,100
Arshdeep Singh,Theekshana,2,0,0,1,0
Arshdeep Singh,Umran Malik,1,0,1,1,0
Arshdeep Singh,Vaibhav Arora,1,1,0,1,100
Arshin Kulkarni,N Thushara,1,0,1,1,0
Arshin Kulkarni,Starc,4,4,1,1,100
Arshin Kulkarni,Vaibhav Arora,3,5,0,1,166.6666667
Ashutosh Sharma,Akash Madhwal,7,21,0,1,300
Ashutosh Sharma,Arshad Khan,4,11,0,1,275
Ashutosh Sharma,Avesh Khan,13,32,0,2,246.1538462
Ashutosh Sharma,Azmatullah,5,15,0,1,300
Ashutosh Sharma,Bhuvneshwar,4,3,1,2,75
Ashutosh Sharma,Boult,10,8,1,3,80
Ashutosh Sharma,Bumrah,14,19,1,3,135.7142857
Ashutosh Sharma,Chahal,6,9,0,2,150
Ashutosh Sharma,Chahar,2,3,0,1,150
Ashutosh Sharma,Cummins,9,15,0,3,166.6666667
Ashutosh Sharma,Darshan Nalkande,1,0,1,1,0
Ashutosh Sharma,Digvesh Rathi,6,6,0,1,100
Ashutosh Sharma,Eshan Malinga,5,4,1,1,80
Ashutosh Sharma,Ferguson,1,0,0,1,0
Ashutosh Sharma,Gerald Coetzee,3,4,1,1,133.3333333
Ashutosh Sharma,Hardik Pandya,3,8,0,1,266.6666667
Ashutosh Sharma,Harshal Patel,9,16,0,1,177.7777778
Ashutosh Sharma,Harshit Rana,2,6,0,1,300
Ashutosh Sharma,Ishant,3,2,0,1,66.66666667
Ashutosh Sharma,Jadeja,5,2,1,1,40
Ashutosh Sharma,Jofra Archer,4,9,0,1,225
Ashutosh Sharma,Karn Sharma,7,14,0,2,200
Ashutosh Sharma,M Siddharth,3,2,0,1,66.66666667
Ashutosh Sharma,Mohit Sharma,9,14,0,1,155.5555556
Ashutosh Sharma,Narine,3,1,0,1,33.33333333
Ashutosh Sharma,Nitish Reddy,2,1,0,1,50
Ashutosh Sharma,Noor Ahmad,3,2,0,1,66.66666667
Ashutosh Sharma,Pathirana,1,1,1,1,100
Ashutosh Sharma,Prasidh,3,13,0,1,433.3333333
Ashutosh Sharma,Prince Yadav,10,28,0,1,280
Ashutosh Sharma,Rashid Khan,2,2,0,1,100
Ashutosh Sharma,Ravi Bishnoi,9,22,0,1,244.4444444
Ashutosh Sharma,Sai Kishore,9,4,2,2,44.44444444
Ashutosh Sharma,Sandeep Sharma,10,8,0,2,80
Ashutosh Sharma,Santner,8,5,1,2,62.5
Ashutosh Sharma,Shahbaz Ahmed,3,8,0,1,266.6666667
Ashutosh Sharma,Shepherd,9,19,0,1,211.1111111
Ashutosh Sharma,Simarjeet Singh,5,1,0,1,20
Ashutosh Sharma,Siraj,9,16,1,2,177.7777778
Ashutosh Sharma,T Natarajan,4,5,1,2,125
Ashutosh Sharma,Unadkat,8,19,0,2,237.5
Ashutosh Sharma,Varun Chakaravarthy,1,0,1,1,0
Ashutosh Sharma,Zeeshan Ansari,6,15,0,1,250
Ashwin,Akash Madhwal,7,5,1,1,71.42857143
Ashwin,Akash Singh,4,13,1,1,325
Ashwin,Arshad Khan,3,6,0,1,200
Ashwin,Arshdeep Singh,6,1,2,2,16.66666667
Ashwin,Avesh Khan,10,15,1,3,150
Ashwin,Axar,15,17,1,2,113.3333333
Ashwin,Bhuvneshwar,1,1,0,1,100
Ashwin,Bumrah,5,11,1,2,220
Ashwin,Chakaravarthy,4,5,1,1,125
Ashwin,Chameera,4,2,0,1,50
Ashwin,Chawla,6,4,0,1,66.66666667
Ashwin,Chetan Sakariya,5,8,0,1,160
Ashwin,Cummins,1,1,0,1,100
Ashwin,Ferguson,1,0,1,1,0
Ashwin,Gerald Coetzee,3,7,0,1,233.3333333
Ashwin,Gowtham,8,16,0,1,200
Ashwin,Hardik Pandya,4,3,0,1,75
Ashwin,Harpreet Brar,4,7,0,1,175
Ashwin,Harshal Patel,6,12,1,2,200
Ashwin,Harshit Rana,10,6,2,3,60
Ashwin,Hasaranga,2,1,1,1,50
Ashwin,Hazlewood,1,1,0,1,100
Ashwin,Holder,1,1,0,1,100
Ashwin,Jadeja,8,3,0,1,37.5
Ashwin,Jofra Archer,1,1,0,1,100
Ashwin,Joshua Little,1,1,0,1,100
Ashwin,Krunal Pandya,3,7,0,1,233.3333333
Ashwin,Kuldeep Yadav,20,26,1,3,130
Ashwin,Kwena Maphaka,1,1,0,1,100
Ashwin,Livingstone,4,3,1,1,75
Ashwin,Magala,6,7,0,1,116.6666667
Ashwin,Matheesha Pathirana,4,9,0,1,225
Ashwin,Meredith,6,12,1,2,200
Ashwin,Mitchell Marsh,5,4,1,1,80
Ashwin,Moeen Ali,15,17,0,3,113.3333333
Ashwin,Mohsin Khan,1,1,0,1,100
Ashwin,Mukesh Choudhary,4,10,0,1,250
Ashwin,Narine,2,0,0,1,0
Ashwin,Nortje,6,14,0,2,233.3333333
Ashwin,Pathirana,1,1,0,1,100
Ashwin,Rahul Chahar,10,18,0,1,180
Ashwin,Rashid Khan,11,9,1,3,81.81818182
Ashwin,Ravi Bishnoi,8,6,0,2,75
Ashwin,Russell,1,1,0,1,100
Ashwin,Sai Kishore,3,2,1,1,66.66666667
Ashwin,Sam Curran,1,0,0,1,0
Ashwin,Santner,4,2,0,1,50
Ashwin,Shahbaz Ahmed,3,0,1,1,0
Ashwin,Shami,6,11,1,2,183.3333333
Ashwin,Shivam Mavi,5,6,0,2,120
Ashwin,Siraj,10,18,1,2,180
Ashwin,Solanki,3,7,0,1,233.3333333
Ashwin,Southee,1,1,0,1,100
Ashwin,Starc,2,1,0,1,50
Ashwin,T Natarajan,2,1,0,1,50
Ashwin,Thakur,9,12,0,1,133.3333333
Ashwin,Theekshana,4,7,0,1,175
Ashwin,Tushar Deshpande,2,1,0,2,50
Ashwin,Yash Dayal,2,3,0,2,150
Ashwin,Yudhvir Singh,4,11,0,1,275
Atharva Taide,Akash Deep,5,5,0,1,100
Atharva Taide,Akash Singh,2,2,0,1,100
Atharva Taide,Arjun Tendulkar,3,9,0,1,300
Atharva Taide,Avesh Khan,6,15,1,2,250
Atharva Taide,Behrendorff,1,2,0,1,200
Atharva Taide,Bhuvneshwar,7,10,0,1,142.8571429
Atharva Taide,Boult,12,10,0,2,83.33333333
Atharva Taide,Chawla,5,7,1,1,140
Atharva Taide,Cummins,7,8,0,1,114.2857143
Atharva Taide,Green,2,1,0,1,50
Atharva Taide,Jadeja,8,5,1,1,62.5
Atharva Taide,Jofra Archer,6,10,0,1,166.6666667
Atharva Taide,Kuldeep Sen,5,12,0,1,240
Atharva Taide,Mishra,8,16,0,1,200
Atharva Taide,Moeen Ali,2,1,0,1,50
Atharva Taide,Navdeep Saini,4,8,1,1,200
Atharva Taide,Naveen-ul-Haq,3,2,0,1,66.66666667
Atharva Taide,Ravi Bishnoi,7,3,1,1,42.85714286
Atharva Taide,Sandeep Sharma,2,4,0,1,200
Atharva Taide,Shahbaz Ahmed,5,12,0,1,240
Atharva Taide,Siraj,2,4,1,1,200
Atharva Taide,Stoinis,6,15,0,1,250
Atharva Taide,T Natarajan,4,9,1,1,225
Atharva Taide,Theekshana,2,2,0,1,100
Atharva Taide,Tushar Deshpande,3,3,0,1,100
Atharva Taide,V Viyaskanth,4,7,0,1,175
Atharva Taide,William ORourke,4,8,1,1,200
Atharva Taide,Yash Thakur,7,15,0,1,214.2857143
Atharva Taide,Yudhvir Singh,3,0,1,1,0
Avesh Khan,Arshdeep Singh,2,2,0,1,100
Avesh Khan,Azmatullah,4,5,0,1,125
Avesh Khan,Bumrah,1,0,1,1,0
Avesh Khan,Chahal,5,16,0,2,320
Avesh Khan,Hardik Pandya,1,2,0,1,200
Avesh Khan,Harshal Patel,3,3,0,2,100
Avesh Khan,Kuldeep Sen,1,1,0,1,100
Avesh Khan,Marco Jansen,2,4,0,1,200
Avesh Khan,Mukesh Kumar,3,7,0,1,233.3333333
Avesh Khan,Prasidh,2,1,0,1,50
Avesh Khan,Rabada,3,0,0,1,0
Avesh Khan,Rashid Khan,4,12,1,1,300
Axar,Akash Madhwal,2,1,0,1,50
