venue,player,indian,role,matches,runs,avg,SR,wickets,econ
"Maharashtra Cricket Association Stadium, Pune",Aaron,Yes,fast_bowler,1,NaN,NaN,NaN,0,8
"Wankhede Stadium, Mumbai",Aaron,Yes,fast_bowler,1,NaN,NaN,NaN,2,11.2
"Brabourne Stadium, Mumbai",Abbott,No,fast_bowler,2,7,7,140,1,11.8
"M.Chinnaswamy Stadium, Bengaluru",Abdul Basith,Yes,fast_bowler,1,1,NaN,100,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abdul Samad,Yes,finisher,2,0,0,0,0,8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abdul Samad,Yes,finisher,9,80,16,151,0,18
"Wankhede Stadium, Mumbai",Abdul Samad,Yes,finisher,2,5,2.5,62,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Abdul Samad,Yes,finisher,1,4,4,67,NaN,NaN
"MA Chidambaram Stadium, Chennai",Abdul Samad,Yes,finisher,3,23,7.666666667,100,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Abdul Samad,Yes,finisher,7,142,47.33333333,130,NaN,NaN
"Eden Gardens, Kolkata",Abdul Samad,Yes,finisher,2,21,10.5,140,NaN,NaN
"Arun Jaitley Stadium, Delhi",Abdul Samad,Yes,finisher,2,41,20.5,141,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Abdul Samad,Yes,finisher,3,49,24.5,169,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Abdul Samad,Yes,finisher,1,45,45,188,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Abdul Samad,Yes,finisher,1,25,25,208,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Abdul Samad,Yes,finisher,2,47,NaN,276,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Abdul Samad,Yes,finisher,1,37,NaN,370,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abhijeet Tomar,Yes,opener,1,4,4,50,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Abhinav Manohar,Yes,finisher,1,1,1,50,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Abhinav Manohar,Yes,finisher,1,4,4,67,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Abhinav Manohar,Yes,finisher,2,13,6.5,93,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abhinav Manohar,Yes,finisher,2,15,7.5,94,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Abhinav Manohar,Yes,finisher,3,45,15,102,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Abhinav Manohar,Yes,finisher,5,117,23.4,131,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abhinav Manohar,Yes,finisher,3,80,26.66666667,151,NaN,NaN
"Wankhede Stadium, Mumbai",Abhinav Manohar,Yes,finisher,3,17,8.5,155,NaN,NaN
"MA Chidambaram Stadium, Chennai",Abhishek Sharma,Yes,opener,6,63,12.6,134,2,6
"Wankhede Stadium, Mumbai",Abhishek Sharma,Yes,opener,8,168,28,128,0,8
"Sawai Mansingh Stadium, Jaipur",Abhishek Sharma,Yes,opener,2,55,55,162,0,8
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Abhishek Sharma,Yes,opener,2,1,NaN,100,0,9
"M.Chinnaswamy Stadium, Bengaluru",Abhishek Sharma,Yes,opener,2,34,34,155,0,10
"Arun Jaitley Stadium, Delhi",Abhishek Sharma,Yes,opener,5,145,48.33333333,227,1,10.4
"Rajiv Gandhi International Stadium, Hyderabad",Abhishek Sharma,Yes,opener,25,514,32.125,206,1,10.6
"Narendra Modi Stadium, Ahmedabad",Abhishek Sharma,Yes,opener,5,110,27.5,157,0,13
"Maharashtra Cricket Association Stadium, Pune",Abhishek Sharma,Yes,opener,4,91,30.33333333,128,0,15
"Brabourne Stadium, Mumbai",Abhishek Sharma,Yes,opener,3,57,19,130,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Abhishek Sharma,Yes,opener,4,161,40.25,136,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Abhishek Sharma,Yes,opener,1,16,16,145,NaN,NaN
"Eden Gardens, Kolkata",Abhishek Sharma,Yes,opener,3,66,22,157,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abhishek Sharma,Yes,opener,2,93,46.5,251,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Abishek Porel,Yes,wicket-keeper,3,14,4.666666667,78,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Abishek Porel,Yes,wicket-keeper,1,7,7,78,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Abishek Porel,Yes,wicket-keeper,1,8,8,80,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Abishek Porel,Yes,wicket-keeper,1,9,9,90,NaN,NaN
"Wankhede Stadium, Mumbai",Abishek Porel,Yes,wicket-keeper,2,47,23.5,118,NaN,NaN
"Eden Gardens, Kolkata",Abishek Porel,Yes,wicket-keeper,1,18,18,120,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Abishek Porel,Yes,wicket-keeper,4,43,21.5,139,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abishek Porel,Yes,wicket-keeper,1,51,51,142,NaN,NaN
"Arun Jaitley Stadium, Delhi",Abishek Porel,Yes,wicket-keeper,11,366,33.27272727,162,NaN,NaN
"MA Chidambaram Stadium, Chennai",Abishek Porel,Yes,wicket-keeper,1,33,33,165,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Abishek Porel,Yes,wicket-keeper,2,33,16.5,206,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Abishek Porel,Yes,wicket-keeper,1,32,NaN,320,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Adil Rashid,No,spinner,2,4,4,133,2,7.7
"Rajiv Gandhi International Stadium, Hyderabad",Adil Rashid,No,spinner,2,18,18,138,0,8.2
"Maharashtra Cricket Association Stadium, Pune",Akash Deep,Yes,fast_bowler,1,NaN,NaN,NaN,1,5
"M.Chinnaswamy Stadium, Bengaluru",Akash Deep,Yes,fast_bowler,1,NaN,NaN,NaN,1,9.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Akash Deep,Yes,fast_bowler,6,6,6,300,1,11.5
"Narendra Modi Stadium, Ahmedabad",Akash Deep,Yes,fast_bowler,1,NaN,NaN,NaN,0,12.2
"Dr DY Patil Sports Academy, Mumbai",Akash Deep,Yes,fast_bowler,4,0,0,0,4,13.1
"Wankhede Stadium, Mumbai",Akash Deep,Yes,fast_bowler,3,2,NaN,100,1,13.2
"Eden Gardens, Kolkata",Akash Deep,Yes,fast_bowler,3,17,17,212,2,14.8
"MA Chidambaram Stadium, Chennai",Akash Madhwal,Yes,fast_bowler,1,NaN,NaN,NaN,1,4
"Arun Jaitley Stadium, Delhi",Akash Madhwal,Yes,fast_bowler,1,NaN,NaN,NaN,3,7.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Akash Madhwal,Yes,fast_bowler,1,NaN,NaN,NaN,0,7.8
"Wankhede Stadium, Mumbai",Akash Madhwal,Yes,fast_bowler,8,4,NaN,80,11,10.1
"Sawai Mansingh Stadium, Jaipur",Akash Madhwal,Yes,fast_bowler,3,4,NaN,44,1,10.9
"Punjab Cricket Association IS Bindra Stadium, Mohali",Akash Madhwal,Yes,fast_bowler,1,NaN,NaN,NaN,0,12.3
"Narendra Modi Stadium, Ahmedabad",Akash Madhwal,Yes,fast_bowler,1,NaN,NaN,NaN,1,13
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Akash Madhwal,Yes,fast_bowler,1,NaN,NaN,NaN,1,15.2
"Eden Gardens, Kolkata",Akash Madhwal,Yes,fast_bowler,1,NaN,NaN,NaN,0,16
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Akash Maharaj Singh,Yes,fast_bowler,1,NaN,NaN,NaN,2,7.5
"Narendra Modi Stadium, Ahmedabad",Akash Maharaj Singh,Yes,fast_bowler,1,NaN,NaN,NaN,1,9.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Akash Maharaj Singh,Yes,fast_bowler,1,NaN,NaN,NaN,1,10
"Eden Gardens, Kolkata",Akash Singh,Yes,fast_bowler,1,NaN,NaN,NaN,1,7.2
"MA Chidambaram Stadium, Chennai",Akash Singh,Yes,fast_bowler,3,NaN,NaN,NaN,3,9.2
"M.Chinnaswamy Stadium, Bengaluru",Akash Singh,Yes,fast_bowler,1,NaN,NaN,NaN,1,11.7
"Sawai Mansingh Stadium, Jaipur",Akash Singh,Yes,fast_bowler,1,NaN,NaN,NaN,0,16
"Arun Jaitley Stadium, Delhi",Akeal Hosein,No,spinner,2,16,NaN,160,1,10.2
"Arun Jaitley Stadium, Delhi",Alzarri Joseph,No,fast_bowler,1,NaN,NaN,NaN,2,7.2
"Punjab Cricket Association IS Bindra Stadium, Mohali",Alzarri Joseph,No,fast_bowler,1,NaN,NaN,NaN,1,8
"Maharashtra Cricket Association Stadium, Pune",Alzarri Joseph,No,fast_bowler,3,0,0,0,2,8
"Dr DY Patil Sports Academy, Mumbai",Alzarri Joseph,No,fast_bowler,4,5,NaN,83,1,8.3
"Wankhede Stadium, Mumbai",Alzarri Joseph,No,fast_bowler,4,7,NaN,58,2,9.4
"Narendra Modi Stadium, Ahmedabad",Alzarri Joseph,No,fast_bowler,4,NaN,NaN,NaN,4,9.4
"Brabourne Stadium, Mumbai",Alzarri Joseph,No,fast_bowler,2,NaN,NaN,NaN,2,10.6
"MA Chidambaram Stadium, Chennai",Alzarri Joseph,No,fast_bowler,1,NaN,NaN,NaN,0,12.5
"M.Chinnaswamy Stadium, Bengaluru",Alzarri Joseph,No,fast_bowler,2,NaN,NaN,NaN,1,12.8
"Eden Gardens, Kolkata",Alzarri Joseph,No,fast_bowler,1,NaN,NaN,NaN,0,13.5
"Brabourne Stadium, Mumbai",Aman Hakim Khan,Yes,middle_order,2,5,5,167,0,13
"MA Chidambaram Stadium, Chennai",Aman Hakim Khan,Yes,middle_order,1,2,NaN,67,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Aman Hakim Khan,Yes,middle_order,1,4,4,80,NaN,NaN
"Arun Jaitley Stadium, Delhi",Aman Hakim Khan,Yes,middle_order,4,31,7.75,84,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Aman Hakim Khan,Yes,middle_order,1,51,51,116,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Aman Hakim Khan,Yes,middle_order,1,18,18,180,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Aman Hakim Khan,Yes,middle_order,1,4,4,200,NaN,NaN
"Arun Jaitley Stadium, Delhi",Angkrish Raghuvanshi,Yes,middle_order,2,58,29,116,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Angkrish Raghuvanshi,Yes,middle_order,1,32,32,123,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Angkrish Raghuvanshi,Yes,middle_order,1,22,NaN,129,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Angkrish Raghuvanshi,Yes,middle_order,1,37,37,132,NaN,NaN
"MA Chidambaram Stadium, Chennai",Angkrish Raghuvanshi,Yes,middle_order,1,24,24,133,NaN,NaN
"Eden Gardens, Kolkata",Angkrish Raghuvanshi,Yes,middle_order,9,197,24.625,149,NaN,NaN
"Wankhede Stadium, Mumbai",Angkrish Raghuvanshi,Yes,middle_order,2,39,19.5,177,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Angkrish Raghuvanshi,Yes,middle_order,1,54,54,200,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Aniket Verma,Yes,finisher,1,3,3,43,NaN,NaN
"Eden Gardens, Kolkata",Aniket Verma,Yes,finisher,1,6,6,100,NaN,NaN
"MA Chidambaram Stadium, Chennai",Aniket Verma,Yes,finisher,1,19,19,100,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Aniket Verma,Yes,finisher,4,73,18.25,166,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Aniket Verma,Yes,finisher,1,74,74,180,NaN,NaN
"Arun Jaitley Stadium, Delhi",Aniket Verma,Yes,finisher,1,12,NaN,200,NaN,NaN
"Wankhede Stadium, Mumbai",Aniket Verma,Yes,finisher,1,18,NaN,225,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Aniket Verma,Yes,finisher,2,31,31,282,NaN,NaN
"MA Chidambaram Stadium, Chennai",Anmolpreet Singh,Yes,opener,1,0,0,0,NaN,NaN
"Brabourne Stadium, Mumbai",Anmolpreet Singh,Yes,opener,1,8,8,89,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anmolpreet Singh,Yes,opener,1,31,31,119,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Anmolpreet Singh,Yes,opener,1,5,5,125,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Anmolpreet Singh,Yes,opener,1,5,5,125,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Anmolpreet Singh,Yes,opener,2,41,20.5,128,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Anmolpreet Singh,Yes,opener,1,33,33,132,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Anshul Kamboj,Yes,fast_bowler,1,NaN,NaN,NaN,3,5.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anshul Kamboj,Yes,fast_bowler,1,NaN,NaN,NaN,1,6.7
"Arun Jaitley Stadium, Delhi",Anshul Kamboj,Yes,fast_bowler,2,5,NaN,167,1,7
"MA Chidambaram Stadium, Chennai",Anshul Kamboj,Yes,fast_bowler,6,5,2.5,62,2,8
"M.Chinnaswamy Stadium, Bengaluru",Anshul Kamboj,Yes,fast_bowler,1,NaN,NaN,NaN,0,8.3
"Eden Gardens, Kolkata",Anshul Kamboj,Yes,fast_bowler,4,6,NaN,200,2,10.3
"Wankhede Stadium, Mumbai",Anshul Kamboj,Yes,fast_bowler,2,NaN,NaN,NaN,1,12.7
"Brabourne Stadium, Mumbai",Anuj Rawat,Yes,wicket-keeper,1,0,0,0,NaN,NaN
"Eden Gardens, Kolkata",Anuj Rawat,Yes,wicket-keeper,1,1,1,20,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anuj Rawat,Yes,wicket-keeper,1,9,9,82,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Anuj Rawat,Yes,wicket-keeper,4,37,9.25,86,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Anuj Rawat,Yes,wicket-keeper,6,88,29.33333333,99,NaN,NaN
"Wankhede Stadium, Mumbai",Anuj Rawat,Yes,wicket-keeper,3,32,10.66666667,107,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Anuj Rawat,Yes,wicket-keeper,1,66,NaN,140,NaN,NaN
"MA Chidambaram Stadium, Chennai",Anuj Rawat,Yes,wicket-keeper,1,48,NaN,192,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Anuj Rawat,Yes,wicket-keeper,1,29,NaN,264,NaN,NaN
"Arun Jaitley Stadium, Delhi",Anuj Rawat,Yes,wicket-keeper,1,8,NaN,267,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Anukul Roy,Yes,spinner,1,NaN,NaN,NaN,0,3
"Arun Jaitley Stadium, Delhi",Anukul Roy,Yes,spinner,4,0,0,0,3,5.8
"Wankhede Stadium, Mumbai",Anukul Roy,Yes,spinner,1,NaN,NaN,NaN,1,7
"Rajiv Gandhi International Stadium, Hyderabad",Anukul Roy,Yes,spinner,2,13,NaN,186,1,8.7
"Maharashtra Cricket Association Stadium, Pune",Anukul Roy,Yes,spinner,2,0,0,0,0,9
"MA Chidambaram Stadium, Chennai",Anukul Roy,Yes,spinner,2,3,NaN,100,0,10.8
"Eden Gardens, Kolkata",Anukul Roy,Yes,spinner,3,6,NaN,100,0,18.7
"Punjab Cricket Association IS Bindra Stadium, Mohali",Anukul Roy,Yes,spinner,1,4,4,80,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Arjun Tendulkar,Yes,fast_bowler,2,13,13,144,1,4.5
"Rajiv Gandhi International Stadium, Hyderabad",Arjun Tendulkar,Yes,fast_bowler,1,NaN,NaN,NaN,1,7.1
"Wankhede Stadium, Mumbai",Arjun Tendulkar,Yes,fast_bowler,3,NaN,NaN,NaN,1,12
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Arshad Khan,Yes,fast_bowler,3,20,NaN,125,0,8.7
"Wankhede Stadium, Mumbai",Arshad Khan,Yes,fast_bowler,7,3,1.5,50,4,10.3
"Arun Jaitley Stadium, Delhi",Arshad Khan,Yes,fast_bowler,4,58,NaN,176,2,10.5
"M.Chinnaswamy Stadium, Bengaluru",Arshad Khan,Yes,fast_bowler,3,15,NaN,167,2,10.8
"Punjab Cricket Association IS Bindra Stadium, Mohali",Arshad Khan,Yes,fast_bowler,1,NaN,NaN,NaN,1,12
"Eden Gardens, Kolkata",Arshad Khan,Yes,fast_bowler,2,5,5,125,0,12.5
"Narendra Modi Stadium, Ahmedabad",Arshad Khan,Yes,fast_bowler,8,22,11,122,3,13.7
"MA Chidambaram Stadium, Chennai",Arshad Khan,Yes,fast_bowler,2,1,1,50,0,16.8
"Maharashtra Cricket Association Stadium, Pune",Arshdeep Singh,Yes,fast_bowler,3,0,NaN,0,0,7
"Wankhede Stadium, Mumbai",Arshdeep Singh,Yes,fast_bowler,6,0,0,0,7,7.4
"Arun Jaitley Stadium, Delhi",Arshdeep Singh,Yes,fast_bowler,1,NaN,NaN,NaN,0,8
"Brabourne Stadium, Mumbai",Arshdeep Singh,Yes,fast_bowler,6,19,19,86,2,8.1
"Rajiv Gandhi International Stadium, Hyderabad",Arshdeep Singh,Yes,fast_bowler,3,NaN,NaN,NaN,4,8.7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Arshdeep Singh,Yes,fast_bowler,12,2,2,33,11,8.9
"Dr DY Patil Sports Academy, Mumbai",Arshdeep Singh,Yes,fast_bowler,6,2,2,50,5,9.1
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Arshdeep Singh,Yes,fast_bowler,5,4,4,133,7,9.4
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Arshdeep Singh,Yes,fast_bowler,3,NaN,NaN,NaN,6,9.6
"Narendra Modi Stadium, Ahmedabad",Arshdeep Singh,Yes,fast_bowler,4,NaN,NaN,NaN,5,9.8
"Barsapara Cricket Stadium, Guwahati",Arshdeep Singh,Yes,fast_bowler,2,NaN,NaN,NaN,3,9.9
"MA Chidambaram Stadium, Chennai",Arshdeep Singh,Yes,fast_bowler,3,NaN,NaN,NaN,4,10.1
"Eden Gardens, Kolkata",Arshdeep Singh,Yes,fast_bowler,2,NaN,NaN,NaN,2,10.2
"Sawai Mansingh Stadium, Jaipur",Arshdeep Singh,Yes,fast_bowler,3,NaN,NaN,NaN,2,10.2
"M.Chinnaswamy Stadium, Bengaluru",Arshdeep Singh,Yes,fast_bowler,2,NaN,NaN,NaN,2,10.3
"Punjab Cricket Association IS Bindra Stadium, Mohali",Arshdeep Singh,Yes,fast_bowler,6,2,NaN,100,7,11
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Arshin Kulkarni,Yes,fast_bowler,2,9,4.5,112,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Ashutosh Sharma,Yes,finisher,2,11,5.5,73,NaN,NaN
"MA Chidambaram Stadium, Chennai",Ashutosh Sharma,Yes,finisher,1,1,1,100,NaN,NaN
"Wankhede Stadium, Mumbai",Ashutosh Sharma,Yes,finisher,1,18,18,112,NaN,NaN
"Arun Jaitley Stadium, Delhi",Ashutosh Sharma,Yes,finisher,4,41,13.66666667,121,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Ashutosh Sharma,Yes,finisher,2,43,21.5,148,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Ashutosh Sharma,Yes,finisher,1,17,NaN,155,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Ashutosh Sharma,Yes,finisher,2,68,34,189,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Ashutosh Sharma,Yes,finisher,4,128,42.66666667,191,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Ashutosh Sharma,Yes,finisher,1,66,NaN,213,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Ashwani Kumar,Yes,fast_bowler,1,NaN,NaN,NaN,1,8.3
"Wankhede Stadium, Mumbai",Ashwani Kumar,Yes,fast_bowler,3,NaN,NaN,NaN,7,10.6
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ashwani Kumar,Yes,fast_bowler,1,NaN,NaN,NaN,1,13
"Narendra Modi Stadium, Ahmedabad",Ashwani Kumar,Yes,fast_bowler,1,NaN,NaN,NaN,2,13.8
"Sawai Mansingh Stadium, Jaipur",Ashwani Kumar,Yes,fast_bowler,1,NaN,NaN,NaN,0,16
"Maharashtra Cricket Association Stadium, Pune",Ashwin,Yes,spinner,3,17,17,189,3,4.8
"Dr DY Patil Sports Academy, Mumbai",Ashwin,Yes,spinner,8,80,20,143,2,7.3
"Wankhede Stadium, Mumbai",Ashwin,Yes,spinner,12,58,29,118,5,7.4
"Brabourne Stadium, Mumbai",Ashwin,Yes,spinner,6,52,NaN,162,3,7.5
"Rajiv Gandhi International Stadium, Hyderabad",Ashwin,Yes,spinner,4,3,NaN,75,1,7.9
"Barsapara Cricket Stadium, Guwahati",Ashwin,Yes,spinner,6,28,14,122,4,7.9
"Narendra Modi Stadium, Ahmedabad",Ashwin,Yes,spinner,6,16,8,133,3,8
"Arun Jaitley Stadium, Delhi",Ashwin,Yes,spinner,4,15,7.5,136,5,8.1
"Sawai Mansingh Stadium, Jaipur",Ashwin,Yes,spinner,14,35,17.5,125,6,8.3
"MA Chidambaram Stadium, Chennai",Ashwin,Yes,spinner,12,43,10.75,105,6,8.7
"M.Chinnaswamy Stadium, Bengaluru",Ashwin,Yes,spinner,2,12,12,200,1,9.2
"Eden Gardens, Kolkata",Ashwin,Yes,spinner,7,18,9,95,0,9.4
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ashwin,Yes,spinner,1,NaN,NaN,NaN,1,10
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Ashwin,Yes,spinner,1,NaN,NaN,NaN,2,12
"Rajiv Gandhi International Stadium, Hyderabad",Atharva Taide,Yes,opener,2,46,46,170,0,24
"MA Chidambaram Stadium, Chennai",Atharva Taide,Yes,opener,1,13,13,76,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Atharva Taide,Yes,opener,2,13,6.5,108,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Atharva Taide,Yes,opener,1,15,15,125,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Atharva Taide,Yes,opener,1,19,19,158,NaN,NaN
"Wankhede Stadium, Mumbai",Atharva Taide,Yes,opener,1,29,29,171,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Atharva Taide,Yes,opener,2,70,35,184,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Avesh Khan,Yes,fast_bowler,5,14,14,156,5,7.2
"Barsapara Cricket Stadium, Guwahati",Avesh Khan,Yes,fast_bowler,2,3,NaN,150,2,7.3
"Brabourne Stadium, Mumbai",Avesh Khan,Yes,fast_bowler,4,1,NaN,50,6,8.5
"MA Chidambaram Stadium, Chennai",Avesh Khan,Yes,fast_bowler,3,NaN,NaN,NaN,4,8.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Avesh Khan,Yes,fast_bowler,13,2,NaN,200,7,8.7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Avesh Khan,Yes,fast_bowler,1,NaN,NaN,NaN,2,8.8
"Wankhede Stadium, Mumbai",Avesh Khan,Yes,fast_bowler,6,7,7,233,6,8.8
"Sawai Mansingh Stadium, Jaipur",Avesh Khan,Yes,fast_bowler,7,NaN,NaN,NaN,9,9.4
"Dr DY Patil Sports Academy, Mumbai",Avesh Khan,Yes,fast_bowler,4,NaN,NaN,NaN,4,9.9
"Eden Gardens, Kolkata",Avesh Khan,Yes,fast_bowler,3,NaN,NaN,NaN,4,10.7
"Narendra Modi Stadium, Ahmedabad",Avesh Khan,Yes,fast_bowler,3,NaN,NaN,NaN,6,11
"Rajiv Gandhi International Stadium, Hyderabad",Avesh Khan,Yes,fast_bowler,3,NaN,NaN,NaN,4,11.3
"M.Chinnaswamy Stadium, Bengaluru",Avesh Khan,Yes,fast_bowler,2,0,NaN,0,0,13.8
"Punjab Cricket Association IS Bindra Stadium, Mohali",Avesh Khan,Yes,fast_bowler,1,NaN,NaN,NaN,0,14
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Avesh Khan,Yes,fast_bowler,2,19,NaN,190,0,14.2
"Arun Jaitley Stadium, Delhi",Avesh Khan,Yes,fast_bowler,2,7,NaN,233,0,21
"Sawai Mansingh Stadium, Jaipur",Axar,Yes,spinner,2,15,NaN,115,1,5.2
"Rajiv Gandhi International Stadium, Hyderabad",Axar,Yes,spinner,3,40,20,98,2,5.2
"Narendra Modi Stadium, Ahmedabad",Axar,Yes,spinner,5,66,33,106,1,5.9
"Eden Gardens, Kolkata",Axar,Yes,spinner,2,15,15,71,2,6.2
"MA Chidambaram Stadium, Chennai",Axar,Yes,spinner,4,42,21,162,2,6.4
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Axar,Yes,spinner,2,21,21,162,0,6.5
"Dr DY Patil Sports Academy, Mumbai",Axar,Yes,spinner,6,18,18,78,2,6.6
"Brabourne Stadium, Mumbai",Axar,Yes,spinner,5,60,NaN,194,2,7.6
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Axar,Yes,spinner,5,50,50,161,1,7.8
"Wankhede Stadium, Mumbai",Axar,Yes,spinner,12,104,52,151,4,7.8
"Arun Jaitley Stadium, Delhi",Axar,Yes,spinner,33,400,33.33333333,163,13,7.9
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Axar,Yes,spinner,7,29,14.5,145,1,9.1
"Maharashtra Cricket Association Stadium, Pune",Axar,Yes,spinner,2,8,8,200,0,9.2
